"ID","ContinentID","ParentAreaID","AreaBit","Flags","SoundProviderPref","SoundProviderPrefUnderwater","AmbienceID","ZoneMusic","IntroSound","ExplorationLevel","AreaName_Lang_enUS","AreaName_Lang_enGB","AreaName_Lang_koKR","AreaName_Lang_frFR","AreaName_Lang_deDE","AreaName_Lang_enCN","AreaName_Lang_zhCN","AreaName_Lang_enTW","AreaName_Lang_zhTW","AreaName_Lang_esES","AreaName_Lang_esMX","AreaName_Lang_ruRU","AreaName_Lang_ptPT","AreaName_Lang_ptBR","AreaName_Lang_itIT","AreaName_Lang_Unk","AreaName_Lang_Mask","FactionGroupMask","LiquidTypeID_1","LiquidTypeID_2","LiquidTypeID_3","LiquidTypeID_4","MinElevation","Ambient_Multiplier","Lightid"
"1","0","0","119","1089","0","11","42","8","0","0","Dun Morogh","","","","","","","","","","","","","","","","16712190","2","0","0","0","0","-500","0.3","0"
"2","0","40","120","1073742912","0","11","0","9","0","0","Longshore","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"3","0","0","121","1088","0","11","25","7","0","0","Badlands","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.1","0"
"4","0","0","122","1088","0","11","210","7","0","0","Blasted Lands","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"5","606","0","6800","64","0","0","0","0","0","0","- QA and DVD GLOBAL -","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.15","0"
"7","0","33","123","1073742912","0","11","0","3","0","0","Blackwater Cove","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"8","0","0","124","1088","0","11","33","223","0","0","Swamp of Sorrows","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"9","0","12","125","1076888576","0","11","35","1","0","0","Northshire Valley","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"10","0","0","617","1088","0","11","40","2","0","0","Duskwood","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
"11","0","0","618","1088","0","11","44","227","0","0","Wetlands","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","-500","0.3","0"
